ticker,period_type,period,avg_return_pct,median_return_pct,win_rate_pct,std_pct,sample_count
SLV,month,1,0.2274,0.1857,55.6,2.6482,241
SLV,month,2,-0.0024,0.091,52.2,2.3646,230
SLV,month,3,0.0045,0.0,48.8,1.9936,246
SLV,month,4,0.0709,0.0,49.3,1.5533,227
SLV,month,5,0.0957,0.0723,51.5,1.5468,233
SLV,month,6,0.0069,0.0616,50.9,1.5239,232
SLV,month,7,0.1902,0.1361,53.4,1.7418,232
SLV,month,8,0.0332,0.0419,50.4,1.9818,244
SLV,month,9,-0.0645,-0.0744,47.1,1.8611,225
SLV,month,10,0.1178,0.103,52.7,1.7486,243
SLV,month,11,0.0044,-0.0636,46.2,1.6985,225
SLV,month,12,0.2207,0.2207,56.7,1.845,231
SLV,dow,0,0.1194,0.0621,50.8,1.9061,524
SLV,dow,1,0.0327,0.0,48.4,1.8364,579
SLV,dow,2,0.2026,0.1387,54.7,1.6876,576
SLV,dow,3,-0.039,0.0193,50.0,1.8501,566
SLV,dow,4,0.0667,0.1338,52.5,2.2133,564
USO,month,1,0.1162,0.1753,53.5,2.2027,241
USO,month,2,0.0484,0.2313,54.3,2.1671,230
USO,month,3,-0.0589,-0.036,48.8,3.8248,246
USO,month,4,-0.0305,0.0821,52.0,3.5711,227
USO,month,5,0.0968,0.1035,53.6,2.232,233
USO,month,6,0.195,0.3251,57.3,2.1299,232
USO,month,7,-0.0502,0.1218,53.9,2.0005,232
USO,month,8,-0.0421,-0.1433,47.5,2.0794,244
USO,month,9,0.0211,0.082,52.0,2.1782,225
USO,month,10,-0.0168,-0.057,48.6,1.9937,243
USO,month,11,-0.139,-0.1121,47.1,2.2867,225
USO,month,12,0.0653,0.2584,55.4,1.8754,231
USO,dow,0,-0.1251,-0.055,48.7,2.7604,524
USO,dow,1,-0.0447,0.0717,51.6,2.4422,579
USO,dow,2,0.032,0.1215,52.1,2.5369,576
USO,dow,3,0.0905,0.1501,53.4,2.2083,566
USO,dow,4,0.1239,0.1674,53.9,2.3086,564
GLD,month,1,0.1986,0.2248,59.8,1.1436,241
GLD,month,2,0.0445,0.12,56.5,1.1725,230
GLD,month,3,0.0813,0.0599,53.7,1.1801,246
GLD,month,4,0.1038,0.094,52.9,1.0117,227
GLD,month,5,0.0103,0.0531,53.6,0.8953,233
GLD,month,6,0.0069,-0.0162,49.6,0.9229,232
GLD,month,7,0.0557,0.0912,56.5,0.8163,232
GLD,month,8,0.054,0.0069,50.0,0.9098,244
GLD,month,9,-0.0319,-0.0194,48.4,0.8294,225
GLD,month,10,0.0753,0.0529,53.1,0.9821,243
GLD,month,11,-0.048,-0.0163,47.6,0.9622,225
GLD,month,12,0.1032,0.1569,58.0,0.8356,231
GLD,dow,0,0.044,0.0567,52.5,1.0146,524
GLD,dow,1,0.045,0.0997,55.4,1.0116,579
GLD,dow,2,0.066,0.0673,54.0,0.8735,576
GLD,dow,3,0.0537,-0.0209,49.5,0.9453,566
GLD,dow,4,0.0682,0.0776,55.1,1.0597,564
EWA,month,1,0.058,0.2111,56.8,1.1772,241
EWA,month,2,0.0279,0.0637,50.9,1.1582,230
EWA,month,3,-0.0114,0.0,48.4,2.7328,246
EWA,month,4,0.0726,0.1144,54.6,1.7287,227
EWA,month,5,0.0312,0.0,49.4,1.2661,233
EWA,month,6,0.0579,0.0919,54.3,1.385,232
EWA,month,7,0.1183,0.1767,56.5,1.0599,232
EWA,month,8,-0.0608,-0.0185,48.4,1.2313,244
EWA,month,9,-0.0815,-0.1085,43.6,1.2663,225
EWA,month,10,-0.0004,0.0,47.3,1.0413,243
EWA,month,11,0.1515,0.0767,53.3,1.2544,225
EWA,month,12,0.0762,0.0538,52.8,1.0557,231
EWA,dow,0,0.01,0.0889,53.6,1.5523,524
EWA,dow,1,0.0888,0.0259,50.1,1.4135,579
EWA,dow,2,0.1102,0.0853,53.0,1.418,576
EWA,dow,3,0.012,0.0437,50.9,1.3556,566
EWA,dow,4,-0.0465,0.0,49.3,1.4666,564
^AXJO,month,1,0.0518,0.1009,55.6,0.7914,241
^AXJO,month,2,0.0034,0.081,52.9,0.8988,242
^AXJO,month,3,-0.0833,0.0718,54.9,1.624,246
^AXJO,month,4,0.1103,0.1059,57.9,1.0123,209
^AXJO,month,5,0.0222,0.0706,54.5,0.855,244
^AXJO,month,6,-0.0094,0.0432,51.6,0.972,225
^AXJO,month,7,0.1307,0.1454,58.0,0.7496,243
^AXJO,month,8,-0.0298,0.0877,55.3,0.8171,244
^AXJO,month,9,-0.0894,-0.014,49.1,0.9312,234
^AXJO,month,10,0.0121,0.0345,55.0,0.8236,242
^AXJO,month,11,0.0921,0.1365,55.9,0.7951,236
^AXJO,month,12,0.0492,0.0539,53.4,0.7711,221
^AXJO,dow,0,-0.009,0.0548,54.8,1.0718,542
^AXJO,dow,1,0.0828,0.0701,52.6,0.9452,572
^AXJO,dow,2,0.0185,0.0595,54.2,0.9014,576
^AXJO,dow,3,0.0695,0.1447,58.3,0.9335,573
^AXJO,dow,4,-0.0614,0.0481,52.7,0.8883,564
QQQ,month,1,0.1014,0.1975,58.1,1.2844,241
QQQ,month,2,0.0094,0.1211,55.7,1.3602,230
QQQ,month,3,0.0457,0.0755,52.4,2.0917,246
QQQ,month,4,0.0574,0.0379,52.9,1.7236,227
QQQ,month,5,0.1504,0.1245,55.4,1.2534,233
QQQ,month,6,0.1054,0.2569,60.3,1.2195,232
QQQ,month,7,0.2064,0.2279,62.9,1.0168,232
QQQ,month,8,0.0466,0.0958,53.7,1.2284,244
QQQ,month,9,-0.0812,0.0528,52.9,1.2444,225
QQQ,month,10,0.0877,0.1357,55.6,1.3143,243
QQQ,month,11,0.1799,0.0788,57.8,1.2747,225
QQQ,month,12,-0.0078,0.1227,55.4,1.1856,231
QQQ,dow,0,0.1189,0.2331,61.1,1.4242,524
QQQ,dow,1,0.084,0.0895,54.9,1.2838,579
QQQ,dow,2,0.1464,0.1568,58.9,1.4085,576
QQQ,dow,3,0.0178,0.0599,52.5,1.4179,566
QQQ,dow,4,0.0107,0.0864,53.4,1.3638,564
SPY,month,1,0.0552,0.1093,55.6,0.9551,241
SPY,month,2,0.0082,0.062,54.8,1.0497,230
SPY,month,3,0.0103,-0.0242,49.6,1.9184,246
SPY,month,4,0.0609,0.0652,55.1,1.4703,227
SPY,month,5,0.0788,0.0381,54.5,0.9947,233
SPY,month,6,0.0756,0.1193,57.3,0.9994,232
SPY,month,7,0.1604,0.1688,59.9,0.6893,232
SPY,month,8,0.0201,0.0484,53.7,0.9521,244
SPY,month,9,-0.0648,0.0188,52.0,0.9608,225
SPY,month,10,0.067,0.0492,53.1,0.9873,243
SPY,month,11,0.1913,0.1339,60.4,0.9257,225
SPY,month,12,0.0019,0.019,51.5,0.9279,231
SPY,dow,0,0.0667,0.1084,58.6,1.1778,524
SPY,dow,1,0.052,0.0219,51.3,1.0349,579
SPY,dow,2,0.0977,0.0763,56.9,1.1254,576
SPY,dow,3,0.0124,0.0409,53.0,1.132,566
SPY,dow,4,0.0467,0.066,54.3,1.1132,564
